id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
cmnjwhf7900018jydvm585u6g,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,81.47,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.749Z,2026-04-05T01:10:40.526Z
cmnjwhf9800028jyduwl16vuy,Aromatizante (canela / vainilla),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,100,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.820Z,2026-04-05T01:10:40.526Z
cmnjwhf9b00038jyd9h0aypne,Aguardiente nariño,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,75,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.823Z,2026-04-05T01:10:40.526Z
cmnjwhf9d00048jyddhhheu8i,Whisky para cóctel,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,80,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.825Z,2026-04-05T01:10:40.526Z
cmnjwhf9f00058jydgh37uczl,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.827Z,2026-04-05T01:10:40.526Z
cmnjwhfa700068jyds21uj3ed,Agua (indirecto) — ración estándar 180 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,700,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.855Z,2026-04-05T01:10:40.526Z
cmnjwhfaf00078jydv73awuv3,Agua (indirecto) — ración estándar 120 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,700,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.863Z,2026-04-05T01:10:40.526Z
cmnjwhfaj00088jydesqbc9eo,Agua (indirecto) — ración estándar 90 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,700,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.867Z,2026-04-05T01:10:40.526Z
cmnjwhfao00098jydrz7mmbpg,Agua (indirecto) — ración estándar 200 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,700,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.872Z,2026-04-05T01:10:40.526Z
cmnjwhfar000a8jyd3y6zrrwi,Agua (indirecto) — jarra 1000 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,700,,,,2026-04-05T01:10:40.524Z,,0,2026-04-04T05:37:01.875Z,2026-04-05T01:10:40.526Z
